season,player_id,name,team,conf,yr,role,dominant_archetype_code,dominant_archetype,top_1_code,top_1_archetype,top_1_pct,top_2_code,top_2_archetype,top_2_pct,top_3_code,top_3_archetype,top_3_pct,A0,A1,A2,A3,A4,A5,A6,A7
2026,71616,Breanna Davis,Abilene Christian,WAC,Sr,Scoring PG,A4,Combo Guard,A4,Combo Guard,0.44207093,A6,Low-Production Player,0.22781633,A7,Efficient Off-Ball Finisher,0.17742583,0.07160299,0.0,0.0,0.0809835,0.44207093,0.00010042,0.22781633,0.17742583
2026,81212,Emma Daugherty,Abilene Christian,WAC,Fr,Wing G,A6,Low-Production Player,A6,Low-Production Player,0.49639151,A0,Traditional Big,0.32597812,A1,Midrange-Heavy Role Player,0.17763037,0.32597812,0.17763037,0.0,0.0,0.0,0.0,0.49639151,0.0
2026,68688,Emma Troxell,Abilene Christian,WAC,Jr,Wing G,A5,Two-Way Star Guard,A5,Two-Way Star Guard,0.21365835,A3,Three-Point Specialist,0.18504615,A2,Two-Way Star Big,0.17672790,0.10374129,0.06202931,0.1767279,0.18504615,0.0,0.21365835,0.09217361,0.16662338
2026,69506,Erin Woodson,Abilene Christian,WAC,Jr,Wing G,A5,Two-Way Star Guard,A5,Two-Way Star Guard,0.23002993,A3,Three-Point Specialist,0.17541618,A0,Traditional Big,0.16470377,0.16470377,0.0,0.14087912,0.17541618,0.11814372,0.23002993,0.03721176,0.13361553
2026,72399,Jazmyn Stone,Abilene Christian,WAC,Jr,Scoring PG,A4,Combo Guard,A4,Combo Guard,0.39744357,A0,Traditional Big,0.18771277,A3,Three-Point Specialist,0.17757008,0.18771277,0.0,0.0,0.17757008,0.39744357,0.08872609,0.14854749,0.0
2026,69631,Meredith Mayes,Abilene Christian,WAC,Jr,PF/C,A2,Two-Way Star Big,A2,Two-Way Star Big,0.45146024,A7,Efficient Off-Ball Finisher,0.28792326,A5,Two-Way Star Guard,0.21545369,0.04516282,0.0,0.45146024,0.0,0.0,0.21545369,0.0,0.28792326
2026,68990,Natalia Chavez,Abilene Christian,WAC,Sr,Wing G,A3,Three-Point Specialist,A3,Three-Point Specialist,0.42515567,A7,Efficient Off-Ball Finisher,0.28387814,A5,Two-Way Star Guard,0.12534646,0.0,0.0,0.10308399,0.42515567,0.0,0.12534646,0.06253574,0.28387814
2026,68690,Payton Hull,Abilene Christian,WAC,Jr,Combo G,A5,Two-Way Star Guard,A5,Two-Way Star Guard,0.48229231,A3,Three-Point Specialist,0.39451374,A2,Two-Way Star Big,0.05544136,0.03833982,0.0,0.05544136,0.39451374,0.02941277,0.48229231,0.0,0.0
2026,81203,Riley Grohman,Abilene Christian,WAC,Fr,Combo G,A3,Three-Point Specialist,A3,Three-Point Specialist,0.44349389,A7,Efficient Off-Ball Finisher,0.22971766,A6,Low-Production Player,0.15313448,0.00628075,0.0,0.0,0.44349389,0.05968021,0.10769301,0.15313448,0.22971766
2026,69543,Alexis Cortez,Air Force,MWC,Jr,Wing G,A7,Efficient Off-Ball Finisher,A7,Efficient Off-Ball Finisher,0.28657384,A4,Combo Guard,0.22131722,A6,Low-Production Player,0.21521725,0.0,0.17389151,0.0,0.06097339,0.22131722,0.04202679,0.21521725,0.28657384
2026,81644,Bhret Clay,Air Force,MWC,Fr,Wing G,A3,Three-Point Specialist,A3,Three-Point Specialist,0.43723206,A6,Low-Production Player,0.26753646,A7,Efficient Off-Ball Finisher,0.15265055,0.0,0.01605544,0.05618526,0.43723206,0.0,0.07034023,0.26753646,0.15265055
2026,68312,Emily Adams,Air Force,MWC,Sr,Wing G,A2,Two-Way Star Big,A2,Two-Way Star Big,0.34759261,A4,Combo Guard,0.23330090,A7,Efficient Off-Ball Finisher,0.17456534,0.04215885,0.03922688,0.34759261,0.0299995,0.2333009,0.0228665,0.11028942,0.17456534
