season,player_id,name,team,conf,yr,role,dominant_archetype_code,dominant_archetype,top_1_code,top_1_archetype,top_1_pct,top_2_code,top_2_archetype,top_2_pct,top_3_code,top_3_archetype,top_3_pct,A0,A1,A2,A3,A4,A5,A6,A7
2021,76585,Alice Stevenson,Abilene Christian,Slnd,Fr,Wing G,A7,Efficient Off-Ball Finisher,A7,Efficient Off-Ball Finisher,0.39663659,A6,Low-Production Player,0.20684895,A0,Traditional Big,0.202515,0.202515,0.06203549,0.00406921,0.09522633,0.03266843,0.0,0.20684895,0.39663659
2021,77291,Alyssa Adams,Abilene Christian,Slnd,Sr,Wing G,A2,Two-Way Star Big,A2,Two-Way Star Big,0.41099872,A0,Traditional Big,0.31758382,A7,Efficient Off-Ball Finisher,0.12619146,0.31758382,0.0,0.41099872,0.01353121,0.06908586,0.06260892,0.0,0.12619146
2021,78062,Anna McLeod,Abilene Christian,Slnd,Sr,Wing G,A3,Three-Point Specialist,A3,Three-Point Specialist,0.40377372,A5,Two-Way Star Guard,0.18231767,A2,Two-Way Star Big,0.13952306,0.11213624,0.0,0.13952306,0.40377372,0.05313083,0.18231767,0.0,0.10911848
2021,77702,Diamond Willcot,Abilene Christian,Slnd,Jr,Pure PG,A6,Low-Production Player,A6,Low-Production Player,0.68023854,A0,Traditional Big,0.31976146,A1,Midrange-Heavy Role Player,0.0,0.31976146,0.0,0.0,0.0,0.0,0.0,0.68023854,0.0
2021,77872,Hannah Matthews,Abilene Christian,Slnd,Fr,PF/C,A6,Low-Production Player,A6,Low-Production Player,0.64197804,A1,Midrange-Heavy Role Player,0.35802196,A0,Traditional Big,0.0,0.0,0.35802196,0.0,0.0,0.0,0.0,0.64197804,0.0
2021,77698,Josie Larson,Abilene Christian,Slnd,Sr,Wing G,A6,Low-Production Player,A6,Low-Production Player,0.62050422,A7,Efficient Off-Ball Finisher,0.31732579,A1,Midrange-Heavy Role Player,0.06216999,0.0,0.06216999,0.0,0.0,0.0,0.0,0.62050422,0.31732579
2021,76254,Kamryn Mraz,Abilene Christian,Slnd,So,Scoring PG,A4,Combo Guard,A4,Combo Guard,0.38305883,A3,Three-Point Specialist,0.36436107,A5,Two-Way Star Guard,0.1627526,0.01857027,0.0,0.0,0.36436107,0.38305883,0.1627526,0.0,0.07125724
2021,76583,Katie Horyna,Abilene Christian,Slnd,Fr,Wing G,A6,Low-Production Player,A6,Low-Production Player,0.41493667,A4,Combo Guard,0.14423948,A7,Efficient Off-Ball Finisher,0.1300105,0.12780278,0.0,0.0,0.10898148,0.14423948,0.0740291,0.41493667,0.1300105
2021,74790,Madi Miller,Abilene Christian,Slnd,Jr,Combo G,A4,Combo Guard,A4,Combo Guard,0.29435287,A6,Low-Production Player,0.19842776,A5,Two-Way Star Guard,0.16131754,0.11692113,0.0,0.0,0.10879394,0.29435287,0.16131754,0.19842776,0.12018678
2021,77630,Makayla Mabry,Abilene Christian,Slnd,Sr,Stretch 4,A2,Two-Way Star Big,A2,Two-Way Star Big,0.50425694,A3,Three-Point Specialist,0.31540656,A7,Efficient Off-Ball Finisher,0.1803365,0.0,0.0,0.50425694,0.31540656,0.0,0.0,0.0,0.1803365
2021,76449,Paige Emborsky,Abilene Christian,Slnd,Jr,Combo G,A3,Three-Point Specialist,A3,Three-Point Specialist,0.43861636,A6,Low-Production Player,0.32812899,A7,Efficient Off-Ball Finisher,0.17303151,0.0,0.0,0.0,0.43861636,0.0,0.06022315,0.32812899,0.17303151
2021,76582,Sarah Griswold,Abilene Christian,Slnd,So,Wing G,A1,Midrange-Heavy Role Player,A1,Midrange-Heavy Role Player,0.349633,A0,Traditional Big,0.24506183,A7,Efficient Off-Ball Finisher,0.21083954,0.24506183,0.349633,0.0132441,0.0,0.18122153,0.0,0.0,0.21083954
2021,76584,Taylor Morgan,Abilene Christian,Slnd,Fr,Combo G,A4,Combo Guard,A4,Combo Guard,0.5664249,A0,Traditional Big,0.25126293,A5,Two-Way Star Guard,0.08619145,0.25126293,0.0,0.0,0.05856908,0.5664249,0.08619145,0.0,0.03755164
2021,77748,Allyah Marlett,Air Force,MWC,So,Wing G,A6,Low-Production Player,A6,Low-Production Player,0.47836962,A0,Traditional Big,0.31952089,A5,Two-Way Star Guard,0.20210949,0.31952089,0.0,0.0,0.0,0.0,0.20210949,0.47836962,0.0
2021,75887,Audrey Gadison,Air Force,MWC,Jr,Combo G,A3,Three-Point Specialist,A3,Three-Point Specialist,0.55841817,A4,Combo Guard,0.15773992,A5,Two-Way Star Guard,0.12333412,0.04546053,0.0,0.0,0.55841817,0.15773992,0.12333412,0.0,0.11504726
2021,75892,Briana Autrey-Thompson,Air Force,MWC,Jr,Pure PG,A4,Combo Guard,A4,Combo Guard,0.52495673,A5,Two-Way Star Guard,0.40003238,A6,Low-Production Player,0.06320319,0.0,0.0118077,0.0,0.0,0.52495673,0.40003238,0.06320319,0.0
2021,76347,Cierra Winters,Air Force,MWC,Jr,Wing G,A6,Low-Production Player,A6,Low-Production Player,0.2963798,A0,Traditional Big,0.2643597,A4,Combo Guard,0.21936197,0.2643597,0.0,0.0,0.0,0.21936197,0.17376736,0.2963798,0.04613118
2021,67546,Dasha Macmillan,Air Force,MWC,Fr,Wing G,A7,Efficient Off-Ball Finisher,A7,Efficient Off-Ball Finisher,0.42398365,A3,Three-Point Specialist,0.32254957,A1,Midrange-Heavy Role Player,0.14819969,0.0,0.14819969,0.0,0.32254957,0.1052671,0.0,0.0,0.42398365
