season,id,season_player_id,name,team,conf,confName,pos,cls,eligibility,class_year_review_needed,class_year_review_note,heightIn,gp,mpg,ppg,rpg,apg,spg,bpg,tov,fg,tp,ft,ts,efg,usg,two_pct,ftr,pf_per_40,three_share,ast_tov,pts_per_40,reb_per_40,ast_per_40,stl_per_40,blk_per_40,tov_per_40,assist_creation,dreb_arch,dreb_source,bpm,porpag,adjoe,drtg,adrtg,dporpag,stops_per_40,has_season_row,has_pbp_row,orb_pct,drb_pct,ast_pct,to_pct,tov_pct,blk_pct,stl_pct,ft_rate,three_pa_per_100,ftm,fta,twopm,twopa,twop_pct,tpm,tpa,rimmade,rimatt,rim_pct,midmade,midatt,mid_pct,rim_attempted,mid_attempted,three_attempted,total_attempted,rim_pct_of_total_attempts,mid_pct_of_total_attempts,three_pct_of_total_attempts,pct_rim_made_assisted,pct_mid_made_assisted,pct_three_made_assisted,dunk_attempted,rim_assisted_pct,mid_assisted_pct,three_assisted_pct,assisted_fg_pct,rim_share,mid_share,pbp_rim_made,pbp_rim_missed,pbp_rim_assisted,pbp_mid_made,pbp_mid_missed,pbp_mid_assisted,pbp_three_made,pbp_three_missed,pbp_three_assisted,rim_made_total,rim_attempts_total,mid_attempts_total,three_attempts_total,low_sample_size,pct_assist_creation,pct_three_pct,pct_three_rate,pct_ast_tov,pct_efg,pct_dreb,pct_dreb_pos_adj,pct_size,stretch_big_height_gate,meets_high_assist,meets_efg_500,meets_3p_300,meets_high_ast_tov,meets_positive_ast_tov,meets_dreb_profile,meets_pg_preferred,meets_wing_preferred,meets_big_preferred,score_pg_combo,score_wing_2_4,score_stretch_big,primary_score_col,primary_score,primary_archetype,qual_general_reason,qual_pg_reason,qual_wing_reason,qual_big_reason,transfer_available,transfer_status,transfer_from,transfer_to,arch_pca_PC1,arch_pca_PC2,arch_pca_PC3,arch_pca_PC4,arch_pca_PC5,arch_pca_PC6,arch_pca_PC7,arch_pca_PC8,arch_pca_PC9,arch_pca_PC10,score_a0,score_a1,score_a2,score_a3,score_a4,score_a5,score_a6,score_a7,dominant_archetype_code,dominant_archetype,top_1_code,top_1_archetype,top_1_pct,top_2_code,top_2_archetype,top_2_pct,top_3_code,top_3_archetype,top_3_pct
2026,78468,2026_78468,Aimee Flippen,Abilene Christian,WAC,WAC,F/C,SO,2,False,,76.0,23.0,6.0615,1.4615,1.3077,0.2308,0.1538,0.2308,0.3461999826900009,0.47368421052631576,0.0,0.333,0.4705,0.474,0.171,0.5,7.9,8.5,0.05263157894736842,0.6666667,9.644477439577663,8.629547141796586,1.523055349335973,1.0149302977810772,1.523055349335973,2.2845829097748145,9.2,16.3,DRB_%,-1.77777,0.238371,87.4755,89.2903,92.1743,0.550274,8.003815958885195,True,True,0.10400000000000001,0.163,0.092,0.217,0.217,0.05,0.8,7.9,0.824865,1.0,3.0,18.0,36.0,0.5,0.0,2.0,15.0,27.0,0.5556,3.0,9.0,0.3333,27.0,9.0,2.0,38.0,0.7105263157894737,0.2368421052631578,0.0526315789473684,0.6,1.0,0.0,0.0,0.6,1.0,0.0,0.6666666666666666,0.7105263157894737,0.2368421052631578,15.0,12.0,9.0,3.0,6.0,3.0,0.0,2.0,0.0,15.0,27.0,9.0,2.0,True,43.88261770379367,13.797599485604058,22.404801028791884,46.774308780452955,67.07687361577482,78.09887833107095,50.744138634046884,96.54568836179182,73.0,False,False,False,False,False,True,False,False,False,37.541705365435455,39.82431682062058,50.157334610146904,score_a0,45.299330999999995,Traditional Big,Does not clear every baseline efficiency/decision-making check.,Below one or more PG/combo preferred gates.,Below one or more 2-4 wing preferred gates.,Below one or more stretch big preferred gates.,False,,,,1.6261062521470346,1.3233917382036733,0.06135871226618696,0.8515418980268412,-0.8763000268075473,0.0916121300044926,0.04842181801749756,-0.27428389456674784,0.17707013408812736,-0.777743147859897,45.299330999999995,25.813934,16.431309,0.0,0.0,0.0,12.455427,0.0,A0,Traditional Big,A0,Traditional Big,0.45299331,A1,Midrange-Heavy Role Player,0.25813934,A2,Two-Way Star Big,0.16431309
2026,71616,2026_71616,Breanna Davis,Abilene Christian,WAC,WAC,G,SR,4,False,,66.0,32.0,27.8914,5.5429,1.7143,2.7714,0.8571,0.0857,2.2571001228162504,0.37333333333333335,0.362,0.698,0.502,0.457,0.142,0.383,35.3,4.1,0.46,1.22785869,7.949260345482837,2.4585356059573917,3.9745584660504667,1.2291960962877444,0.12290526829058418,3.2369836190599974,17.1,6.1,DRB_%,-3.43068,0.048088,76.6862,93.844,95.6557,2.23459,6.649764802053681,True,True,1.0,0.061,0.171,0.33899999999999997,0.33899999999999997,0.3,0.016,35.3,4.38426,37.0,53.0,31.0,81.0,0.383,25.0,69.0,29.0,68.0,0.4265,2.0,13.0,0.1538,68.0,13.0,69.0,150.0,0.4533333333333333,0.0866666666666666,0.46,0.2068965517241379,0.5,0.96,0.0,0.2068965517241379,0.5,0.96,0.5535714285714286,0.4533333333333333,0.0866666666666666,29.0,39.0,6.0,2.0,11.0,1.0,25.0,44.0,24.0,29.0,68.0,13.0,69.0,False,80.01000214331643,84.86282774880331,68.8576123455026,81.94613131385296,60.05751232406944,12.00793027077231,20.729836002685335,7.614131599628491,73.0,True,False,True,True,True,False,True,False,False,85.69968564692435,54.25951306414775,43.61830423368407,score_a4,44.207093,Combo Guard,Does not clear every baseline efficiency/decision-making check.,"Clears PG/combo shooting, volume, assist, and AST/TOV gates.",Below one or more 2-4 wing preferred gates.,Below one or more stretch big preferred gates.,False,,,,-2.1555336560065848,-0.783416317744542,0.8664334907897039,0.7433310214935034,0.7360062233294984,5.672770746113742,0.7008469144110889,-0.28622467303542654,0.2246060852259338,-0.1748738519951397,7.160299,0.0,0.0,8.09835,44.207093,0.010042,22.781633,17.742583,A4,Combo Guard,A4,Combo Guard,0.44207093,A6,Low-Production Player,0.22781633,A7,Efficient Off-Ball Finisher,0.17742583
2026,80574,2026_80574,Bree Riley,Abilene Christian,WAC,WAC,G,FR,1,False,,65.0,10.0,3.7538,0.6154,0.4615,0.5385,0.3846,0.0,0.4614999791446574,0.0,0.0,0.0,0.0,0.0,0.235,0.0,0.0,8.4,0.2857142857142857,1.16684729,6.557621610101763,4.917683414140338,5.738185305557035,4.09824710959561,0.0,4.917683191908545,21.3,0.0,DRB_%,-16.8401,-0.413748,26.3117,93.7308,97.5064,0.171627,4.141105013586232,True,True,0.094,0.0,0.213,0.41600000000000004,0.41600000000000004,0.0,0.024,0.0,4.77553,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,3.0,2.0,2.0,7.0,0.4285714285714285,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4285714285714285,0.2857142857142857,0.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,2.0,True,89.29234836036294,13.797599485604058,46.220618704008004,79.67957419447025,2.5201828963349286,1.805744088018861,1.9948211374316678,3.757948131742516,73.0,True,False,False,True,True,False,False,False,False,57.13286775737657,25.619700895776905,19.198503496334165,score_a6,90.58018,Low-Production Player,Does not clear every baseline efficiency/decision-making check.,Below one or more PG/combo preferred gates.,Below one or more 2-4 wing preferred gates.,Below one or more stretch big preferred gates.,False,,,,-3.1637179914749827,-1.9897296534239253,-3.4043345339624453,-0.5624383555632599,-1.0356644696686212,0.05257628694299682,1.7629828442277384,-0.7637120978759436,-1.425399991695888,-0.7009295642215772,0.0,0.0,0.0,0.0,7.688433,1.7313869999999998,90.58018,0.0,A6,Low-Production Player,A6,Low-Production Player,0.9058018,A4,Combo Guard,0.07688433,A5,Two-Way Star Guard,0.01731387
2026,81212,2026_81212,Emma Daugherty,Abilene Christian,WAC,WAC,G/F,FR,1,False,,73.0,19.0,8.7682,0.8636,1.6818,0.1364,0.4545,0.0455,0.409100003686099,0.17647058823529413,0.0,0.5,0.2132,0.17600000000000002,0.08800000000000001,0.2,23.5,4.8,0.11764705882352941,0.33341481,3.9396911566798205,7.672270249310007,0.6222485800962569,2.0734016103647273,0.2075682580233115,1.8662895631308547,1.2,18.0,DRB_%,-6.5226,-0.976227,40.3504,88.7736,89.8653,0.771594,7.235116371481154,True,True,0.068,0.18,0.012,0.312,0.312,0.8,0.019,23.5,0.782199,2.0,4.0,3.0,15.0,0.2,0.0,2.0,3.0,12.0,0.25,0.0,3.0,0.0,12.0,3.0,2.0,17.0,0.7058823529411765,0.1764705882352941,0.1176470588235294,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.7058823529411765,0.1764705882352941,3.0,9.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,3.0,12.0,3.0,2.0,True,8.414303064942489,13.797599485604058,28.227477316567835,19.430949489176253,6.6192755590483685,84.66457097949561,82.04912111726462,75.11073801528899,73.0,False,False,False,False,False,True,False,False,False,14.486765021075946,44.1353478947993,52.329157282525244,score_a6,49.63915,Low-Production Player,Does not clear every baseline efficiency/decision-making check.,Below one or more PG/combo preferred gates.,Below one or more 2-4 wing preferred gates.,Below one or more stretch big preferred gates.,False,,,,-0.045174561181595116,2.5504200478167487,-1.4671775274606584,0.3407359147959665,0.12028171480788259,-0.15901790796697632,1.2513513925093458,0.9833570583009479,0.49400896166870206,-0.5157311696366969,32.597812,17.763037,0.0,0.0,0.0,0.0,49.63915,0.0,A6,Low-Production Player,A6,Low-Production Player,0.4963915,A0,Traditional Big,0.32597812,A1,Midrange-Heavy Role Player,0.17763037
2026,68688,2026_68688,Emma Troxell,Abilene Christian,WAC,WAC,G/F,JR,3,False,,72.0,32.0,30.4118,9.2941,6.3235,1.3529,1.7941,0.1471,1.2941000163787972,0.3680297397769517,0.255,0.815,0.4815,0.414,0.17300000000000001,0.433,34.2,2.7,0.3643122676579926,1.04543697,12.224333975627882,8.317166363056446,1.7794408749235495,2.3597419422724077,0.19347753174754537,1.7021024949247296,9.2,17.9,DRB_%,3.06014,2.28748,97.4165,85.9135,87.5721,3.30245,9.227010568266266,True,True,0.073,0.179,0.092,0.149,0.149,0.6,0.034,34.2,5.72203,75.0,92.0,74.0,171.0,0.433,25.0,98.0,49.0,105.0,0.4667,25.0,66.0,0.3788,105.0,66.0,98.0,269.0,0.3903345724907063,0.2453531598513011,0.3643122676579926,0.5714285714285714,0.72,1.0,0.0,0.5714285714285714,0.72,1.0,0.7171717171717171,0.3903345724907063,0.2453531598513011,49.0,56.0,28.0,25.0,41.0,18.0,25.0,73.0,25.0,49.0,105.0,66.0,98.0,False,43.88261770379367,51.141315996284916,56.68000285775523,74.14088733299992,41.33564335214689,84.36272058298206,81.63576531021751,64.05122526255627,73.0,False,False,False,True,True,True,False,False,False,53.05092162606272,66.13831478989314,66.64788826992458,score_a5,21.360706,Two-Way Star Guard,Does not clear every baseline efficiency/decision-making check.,Below one or more PG/combo preferred gates.,Below one or more 2-4 wing preferred gates.,Below one or more stretch big preferred gates.,False,,,,0.19371146105151452,0.026858781062202894,0.49337560480709064,0.463315657986765,0.26589258662695575,-0.4689629990214707,0.9953246152300255,0.9272207392869775,0.22669062967711423,0.03576489205570827,10.372951,6.20481,17.669378,18.507721,0.0,21.360706,9.221594,16.662840000000003,A5,Two-Way Star Guard,A5,Two-Way Star Guard,0.21360706,A3,Three-Point Specialist,0.18507721,A2,Two-Way Star Big,0.17669378
2026,69506,2026_69506,Erin Woodson,Abilene Christian,WAC,WAC,G/F,JR,3,False,,70.0,32.0,33.5943,14.0857,6.4286,2.4286,1.9143,0.4286,2.2857000231139364,0.4297994269340974,0.302,0.769,0.5454,0.49,0.215,0.514,38.4,2.3,0.3982808022922636,1.06251913,16.77153564741638,7.654393751320909,2.8916810292222195,2.2793152409783803,0.5103246681728746,2.7215331447465037,15.3,17.6,DRB_%,4.58723,3.75538,107.593,86.6682,88.3413,3.57204,9.019722095712666,True,True,0.057999999999999996,0.17600000000000002,0.153,0.18600000000000003,0.18600000000000003,0.015,0.028999999999999998,38.4,7.31565,103.0,134.0,108.0,210.0,0.514,42.0,139.0,103.0,189.0,0.545,5.0,21.0,0.2381,189.0,21.0,139.0,349.0,0.5415472779369628,0.0601719197707736,0.3982808022922636,0.3980582524271844,0.0,0.8809523809523809,0.0,0.3980582524271844,0.0,0.8809523809523809,0.52,0.5415472779369628,0.0601719197707736,103.0,86.0,41.0,5.0,16.0,0.0,42.0,97.0,37.0,103.0,189.0,21.0,139.0,False,74.46595699078374,65.61227405872687,61.091662499106945,74.94105879831392,73.13174251625348,83.25355433307138,80.04655269283249,43.67007215831964,73.0,True,False,True,True,True,True,False,False,False,70.65067514467385,68.2435328579319,64.71179391387247,score_a5,23.002993,Two-Way Star Guard,Does not clear every baseline efficiency/decision-making check.,Below one or more PG/combo preferred gates.,Below one or more 2-4 wing preferred gates.,Below one or more stretch big preferred gates.,False,,,,0.4413208231403767,-1.3867366719425491,0.6033164537942456,0.19375001227682737,0.08850731815405453,-0.4736458827239107,0.5249778339124607,0.6358557001176391,0.05327114326228049,0.3469596998976001,16.470377,0.0,14.087911,17.541618,11.814371999999999,23.002993,3.7211760000000003,13.361553,A5,Two-Way Star Guard,A5,Two-Way Star Guard,0.23002993,A3,Three-Point Specialist,0.17541618,A0,Traditional Big,0.16470377
2026,72399,2026_72399,Jazmyn Stone,Abilene Christian,WAC,WAC,G,JR,3,False,,66.0,32.0,13.4143,3.1429,1.2571,1.5429,0.6,0.0286,1.6570999903843306,0.28205128205128205,0.294,0.733,0.4448,0.34600000000000003,0.191,0.273,57.7,4.3,0.4358974358974359,0.93108443,9.371789806400631,3.74853700901277,4.600761873523031,1.7891354748291002,0.08528212430018711,4.941293963559278,18.2,6.9,DRB_%,-5.77336,-0.174443,72.4348,91.7289,93.4997,1.14409,7.134578397680088,True,True,0.039,0.069,0.182,0.391,0.391,0.3,0.024,57.7,4.61825,33.0,45.0,12.0,44.0,0.273,10.0,34.0,10.0,37.0,0.2703,2.0,7.0,0.2857,37.0,7.0,34.0,78.0,0.4743589743589743,0.0897435897435897,0.4358974358974359,0.3,0.0,0.9,0.0,0.3,0.0,0.9,0.5454545454545454,0.4743589743589743,0.0897435897435897,10.0,27.0,3.0,2.0,5.0,0.0,10.0,24.0,9.0,10.0,37.0,7.0,34.0,False,82.91419589912124,62.83846538543973,66.10523683646495,65.90340787311567,21.125955561906125,16.31421018789741,29.068763786323963,7.614131599628491,73.0,True,False,False,False,False,False,False,False,False,66.79672429806386,48.29821719048031,39.69798142567357,score_a4,39.744357,Combo Guard,Does not clear every baseline efficiency/decision-making check.,Below one or more PG/combo preferred gates.,Below one or more 2-4 wing preferred gates.,Below one or more stretch big preferred gates.,False,,,,-1.4690473112081017,-1.6593635355750496,-1.2371576514299787,-0.19614539655637586,0.9028769004226109,0.009603255062603028,-0.6718643976330733,-0.3625849267597097,0.2183902718816251,0.5449797652498205,18.771277,0.0,0.0,17.757008,39.744357,8.872608999999999,14.854749,0.0,A4,Combo Guard,A4,Combo Guard,0.39744357,A0,Traditional Big,0.18771277,A3,Three-Point Specialist,0.17757008
2026,80496,2026_80496,Jordyn Coleman,Abilene Christian,WAC,WAC,F/C,JR,3,False,,74.0,20.0,4.3435,1.3913,1.2174,0.1739,0.087,0.3478,0.26090000148528464,0.38095238095238093,0.0,0.333,0.38079999999999997,0.381,0.17300000000000001,0.381,14.3,7.4,0.0,0.6665389,12.812708645101877,11.211235179003108,1.6014734660987682,0.8011971912052491,3.2029469321975363,2.402670670982246,8.2,25.4,DRB_%,-0.145891,0.0338731,78.7904,81.9213,83.9661,0.447859,8.912305744215494,True,True,0.10400000000000001,0.254,0.08199999999999999,0.179,0.179,0.10800000000000001,0.015,14.3,0.0,1.0,3.0,8.0,21.0,0.381,0.0,0.0,7.0,16.0,0.4375,1.0,4.0,0.25,16.0,4.0,0.0,20.0,0.8,0.2,0.0,0.5714285714285714,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.5,0.8,0.2,7.0,9.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,7.0,16.0,4.0,0.0,True,37.78845466885761,13.797599485604058,7.3283560763020645,45.80445809816389,29.66528541830392,97.43337858112453,90.69317023445464,84.59669929270558,73.0,False,False,False,False,False,True,False,False,False,29.212152604129457,47.45336080099297,56.7963450118953,score_a2,43.517514,Two-Way Star Big,Does not clear every baseline efficiency/decision-making check.,Below one or more PG/combo preferred gates.,Below one or more 2-4 wing preferred gates.,Below one or more stretch big preferred gates.,False,,,,2.7714200757964993,1.297495364079975,-0.30813591610129626,1.550724364949059,-1.5680163897469188,0.15740837901916857,0.1723694638842854,-0.009842477180669156,-0.6243289224746067,0.177686346291815,31.690927000000002,1.43858,43.517514,0.0,0.0,0.0,23.352978999999998,0.0,A2,Two-Way Star Big,A2,Two-Way Star Big,0.43517514,A0,Traditional Big,0.31690927,A6,Low-Production Player,0.23352979
2026,69631,2026_69631,Meredith Mayes,Abilene Christian,WAC,WAC,F/C,JR,3,False,,75.0,13.0,28.3625,15.1875,7.875,1.5625,2.5,0.75,1.4375000023,0.6532258064516129,1.0,0.712,0.6808,0.657,0.212,0.65,41.9,3.8,0.008064516129032258,1.08695652,21.419127368884972,11.10621419127369,2.203613926840018,3.525782282944028,1.0577346848832085,2.027324815936536,12.9,19.8,DRB_%,11.1643,5.40516,128.54,81.6429,82.8132,3.65459,10.86765433772926,True,True,0.134,0.198,0.129,0.142,0.142,0.03,0.045,41.9,0.150723,37.0,52.0,80.0,123.0,0.65,1.0,1.0,77.0,119.0,0.6471,3.0,4.0,0.75,119.0,4.0,1.0,124.0,0.9596774193548387,0.032258064516129,0.0080645161290322,0.5844155844155844,1.0,1.0,0.0,0.5844155844155844,1.0,1.0,0.6049382716049383,0.9596774193548387,0.032258064516129,77.0,42.0,45.0,3.0,1.0,3.0,1.0,0.0,1.0,77.0,119.0,4.0,1.0,False,64.63885118239622,99.58741158819747,15.914124455240408,76.03593627205831,97.91383867971707,89.70493677216547,71.23343527013252,92.0804458098164,73.0,False,True,True,True,True,True,False,False,False,69.92677002214761,70.06314339092758,74.29833664662523,score_a2,45.146024000000004,Two-Way Star Big,Clears baseline eFG and AST/TOV checks.,Below one or more PG/combo preferred gates.,Below one or more 2-4 wing preferred gates.,Below one or more stretch big preferred gates.,False,,,,2.513842492419605,-1.5975051121160306,1.1557642838755777,0.9934340481790683,0.44040748568749205,-0.4533117473961237,1.895854663397587,0.15568138487891464,0.33001230163384926,-0.6714406174467559,4.516282,0.0,45.146024000000004,0.0,0.0,21.545369,0.0,28.792325,A2,Two-Way Star Big,A2,Two-Way Star Big,0.45146024,A7,Efficient Off-Ball Finisher,0.28792325,A5,Two-Way Star Guard,0.21545369
2026,80885,2026_80885,Molly Daugherty,Abilene Christian,WAC,WAC,G/F,FR,1,False,,70.0,20.0,6.0304,1.7391,0.5652,0.3478,0.2174,0.0,0.5217000443445037,0.2857142857142857,0.188,0.4,0.3664,0.35700000000000004,0.168,0.6,23.8,6.0,0.7619047619047619,0.66666661,11.535553197134519,3.7490050411249674,2.306977978243566,1.442027062881401,0.0,3.4604672615050656,2.2,11.7,DRB_%,-9.68592,-0.305116,56.0106,92.4505,95.7658,0.339039,4.991808171928893,True,True,0.013000000000000001,0.11699999999999999,0.022000000000000002,0.318,0.318,0.0,0.013000000000000001,23.8,10.6747,2.0,5.0,3.0,5.0,0.6,3.0,16.0,3.0,4.0,0.75,0.0,1.0,0.0,4.0,1.0,16.0,21.0,0.1904761904761904,0.0476190476190476,0.7619047619047619,0.6666666666666666,0.0,1.0,0.0,0.6666666666666666,0.0,1.0,0.8333333333333334,0.1904761904761904,0.0476190476190476,3.0,1.0,2.0,0.0,1.0,0.0,3.0,13.0,3.0,3.0,4.0,1.0,16.0,True,9.71279559905694,36.886475673358575,93.87368721868971,46.21704650996642,23.256769307708794,51.62177609487747,35.78537603338952,43.67007215831964,73.0,False,False,False,False,False,False,False,False,False,36.42691290990926,50.031533364421364,47.733183718068574,score_a6,47.420936000000005,Low-Production Player,Does not clear every baseline efficiency/decision-making check.,Below one or more PG/combo preferred gates.,Below one or more 2-4 wing preferred gates.,Below one or more stretch big preferred gates.,False,,,,-1.1915941338011513,0.11159284580479631,-0.01739803673742238,-0.7450602410267305,-0.44108516834350275,-0.39707632479647176,-0.22052181569300258,0.3428965999203163,0.3166804552390651,1.08000726966166,11.883913999999999,0.0,0.0,10.266778,0.0,0.0,47.420936000000005,30.428372,A6,Low-Production Player,A6,Low-Production Player,0.47420936,A7,Efficient Off-Ball Finisher,0.30428372,A0,Traditional Big,0.11883914
