season_player_id,player_name,team,conf,season,cls,pos,archetype,height_inches,GP,mins_per_game,pts_per_game,treb_per_game,ast_per_game,stl_per_game,blk_per_game,bpm,porpag,eFG,ts,FT_pct,3P_pct,three_pa_per_100,AST_TOV,AST_pct,TOV_pct,ORB_pct,DRB_pct,Stl_pct,Blk_pct,FTR,personal_fouls_per_40,usg,three_share,rim_share,mid_share,rim_pct,mid_pct,assisted_fg_pct,rim_assisted_pct,mid_assisted_pct,three_assisted_pct,stops_per_40,score_a0,score_a1,score_a2,score_a3,score_a4,score_a5,score_a6,score_a7,primary_score,dominant_archetype_code,dominant_archetype,top_1_code,top_1_archetype,top_1_pct,top_2_code,top_2_archetype,top_2_pct,top_3_code,top_3_archetype,top_3_pct,year,class,role,height
2023_69092,Addison Martin,Abilene Christian,WAC,2023,FR,G/F,Traditional Big,72.0,27.0,30.1333,12.0667,5.9667,0.9333,0.9,0.8333,0.666414,3.28772,0.524,0.5567,0.65,0.083,0.84299,0.69999252,0.062,0.14,0.10400000000000001,0.121,0.015,0.027000000000000003,40.5,3.6,0.196,0.048582995951417005,0.7165991902834008,0.2348178137651821,0.6271,0.2931,0.6666666666666666,0.6216216216216216,0.9411764705882352,1.0,7.420411354928983,39.384279,6.077717,13.741399000000001,0.0,14.690057000000001,0.0,5.058009,21.048538999999998,39.384279,A0,Traditional Big,A0,Traditional Big,0.39384279,A7,Efficient Off-Ball Finisher,0.21048539,A4,Combo Guard,0.14690057,2023,FR,G/F,"6'0"""
2024_69092,Addison Martin,Abilene Christian,WAC,2024,SO,G/F,Combo Guard,72.0,22.0,29.24,11.04,4.88,1.72,0.84,0.4,-1.25785,2.54296,0.444,0.48350000000000004,0.658,0.25,0.358059,1.16216217,0.13699999999999998,0.135,0.081,0.105,0.013999999999999999,0.017,34.2,2.7,0.213,0.018018018018018018,0.6261261261261262,0.3558558558558558,0.5108,0.3291,0.5510204081632653,0.4929577464788732,0.6923076923076923,1.0,7.050864320358165,14.180012999999999,9.179105999999999,15.807219,0.0,41.777273,0.0,6.251859,12.80453,41.777273,A4,Combo Guard,A4,Combo Guard,0.41777273,A2,Two-Way Star Big,0.15807219,A0,Traditional Big,0.14180013,2024,SO,G/F,"6'0"""
2025_78468,Aimee Flippen,Abilene Christian,WAC,2025,FR,F/C,Traditional Big,76.0,28.0,7.6833,1.1333,1.6667,0.2,0.3,0.2667,-3.91228,-0.355904,0.36700000000000005,0.3924,0.5,0.0,0.559726,0.35292043,0.052000000000000005,0.36200000000000004,0.107,0.133,0.019,0.042,33.3,7.4,0.131,0.06666666666666667,0.7,0.2333333333333333,0.4286,0.2857,0.6363636363636364,0.5555555555555556,1.0,0.0,7.885134921564582,55.679866,24.508667,2.834526,0.0,0.0,0.0,16.976941,0.0,55.679866,A0,Traditional Big,A0,Traditional Big,0.55679866,A1,Midrange-Heavy Role Player,0.24508667,A6,Low-Production Player,0.16976941,2025,FR,F/C,"6'4"""
2022_75143,Alexis Babineaux,Abilene Christian,WAC,2022,FR,G/F,Traditional Big,72.0,7.0,3.9091,1.7273,0.7273,0.0,0.1818,0.0,-29.5623,0.018418,0.33299999999999996,0.35619999999999996,1.0,0.0,2.64946,0.0,0.0,0.213,0.054000000000000006,0.221,0.0,0.0,6.7,9.1,0.37,0.06666666666666667,0.7333333333333333,0.2,0.3636,0.3333,0.8,0.75,1.0,0.0,5.791102811388811,42.743985,23.5543,3.7179080000000004,29.983807000000002,0.0,0.0,0.0,0.0,42.743985,A0,Traditional Big,A0,Traditional Big,0.42743985,A3,Three-Point Specialist,0.29983807,A1,Midrange-Heavy Role Player,0.235543,2022,FR,G/F,"6'0"""
2023_75143,Alexis Babineaux,Abilene Christian,WAC,2023,SO,F/C,Two-Way Star Big,72.0,6.0,4.0,0.8889,0.8889,0.0,0.1111,0.2222,-21.4061,-0.468965,0.14300000000000002,0.19039999999999999,0.5,0.0,0.0,0.0,0.0,0.39799999999999996,0.11699999999999999,0.233,0.028999999999999998,0.10300000000000001,28.6,12.0,0.294,0.0,0.5714285714285714,0.4285714285714285,0.0,0.3333,1.0,0.0,1.0,0.0,9.240383333333334,23.312984,2.716021,39.091458,0.0,0.0,0.0,34.879537,0.0,39.091458,A2,Two-Way Star Big,A2,Two-Way Star Big,0.39091458,A6,Low-Production Player,0.34879537,A0,Traditional Big,0.23312984,2023,SO,F/C,"6'0"""
2021_76585,Alice Stevenson,Abilene Christian,Slnd,2021,FR,G/F,Efficient Off-Ball Finisher,70.0,22.0,16.5185,3.1481,2.2222,0.5556,0.5185,0.0,-4.86157,-0.292096,0.51,0.5446,0.636,0.45,3.13061,0.42860446,0.07200000000000001,0.35700000000000004,0.023,0.11599999999999999,0.017,0.0,44.0,3.9,0.11800000000000001,0.4,0.34,0.26,0.5294,0.2308,0.8571428571428571,0.6666666666666666,1.0,1.0,7.111442542383609,20.2515,6.203549,0.40692100000000003,9.522632999999999,3.2668429999999997,0.0,20.684895,39.663659,39.663659,A7,Efficient Off-Ball Finisher,A7,Efficient Off-Ball Finisher,0.39663659,A6,Low-Production Player,0.20684895,A0,Traditional Big,0.202515,2021,FR,G/F,"5'10"""
2022_76585,Alice Stevenson,Abilene Christian,WAC,2022,SO,G/F,Low-Production Player,70.0,7.0,5.7273,1.1818,1.0909,0.0909,0.0909,0.0,-10.4454,-0.523313,0.3,0.2959,0.25,1.0,1.63643,0.2,0.049,0.27,0.0,0.20800000000000002,0.016,0.0,80.0,4.6,0.122,0.2,0.6,0.2,0.0,0.0,1.0,0.0,0.0,1.0,7.022735719399069,9.452882,0.0,11.511788000000001,3.13418,7.437597,0.0,68.463552,0.0,68.463552,A6,Low-Production Player,A6,Low-Production Player,0.68463552,A2,Two-Way Star Big,0.11511788,A0,Traditional Big,0.09452882,2022,SO,G/F,"5'10"""
2021_77291,Alyssa Adams,Abilene Christian,Slnd,2021,SR,G/F,Two-Way Star Big,73.0,22.0,30.037,13.5185,8.7407,0.6296,1.3704,1.4074,-0.513698,3.25544,0.5479999999999999,0.5909,0.717,0.333,1.04137,0.27867038,0.048,0.213,0.10099999999999999,0.225,0.024,0.04,43.8,2.9,0.22,0.05741626794258373,0.8277511961722488,0.1148325358851674,0.5549,0.5,0.5625,0.5833333333333334,0.3333333333333333,0.75,9.74476932994761,31.758382,0.0,41.099872,1.353121,6.908586,6.260892,0.0,12.619146,41.099872,A2,Two-Way Star Big,A2,Two-Way Star Big,0.41099872,A0,Traditional Big,0.31758382,A7,Efficient Off-Ball Finisher,0.12619146,2021,SR,G/F,"6'1"""
2021_78062,Anna McLeod,Abilene Christian,Slnd,2021,SR,G/F,Three-Point Specialist,72.0,22.0,32.7407,16.7407,5.3333,2.1111,1.1852,0.2593,0.459065,3.78739,0.53,0.5733,0.821,0.341,13.1471,0.65517349,0.16399999999999998,0.245,0.052000000000000005,0.14300000000000002,0.021,0.9,27.5,3.3,0.26,0.5880281690140845,0.3591549295774648,0.0528169014084507,0.6176,0.1333,0.5655737704918032,0.3492063492063492,0.0,0.8245614035087719,7.935855206072397,11.213624,0.0,13.952306,40.377372,5.313083,18.231766999999998,0.0,10.911848,40.377372,A3,Three-Point Specialist,A3,Three-Point Specialist,0.40377372,A5,Two-Way Star Guard,0.18231767,A2,Two-Way Star Big,0.13952306,2021,SR,G/F,"6'0"""
2023_69528,Aspen Thornton,Abilene Christian,WAC,2023,SO,G,Combo Guard,67.0,26.0,28.3793,12.1379,2.5517,2.7241,1.6897,0.1379,0.848344,2.9713,0.513,0.5527000000000001,0.766,0.359,8.87714,1.0971887,0.193,0.209,0.026000000000000002,0.077,0.035,0.4,28.4,3.4,0.23600000000000002,0.4317343173431734,0.3321033210332103,0.2361623616236162,0.5,0.4844,0.2966101694915254,0.0666666666666666,0.1290322580645161,0.6666666666666666,8.018357909299546,1.451478,0.0,0.0,22.760682,38.976105,31.505515,0.0,5.30622,38.976105,A4,Combo Guard,A4,Combo Guard,0.38976105,A5,Two-Way Star Guard,0.31505515,A3,Three-Point Specialist,0.22760682,2023,SO,G,"5'7"""
